,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0.0341249760549004,0.002242169607927162,0.00014533701299615783,3.7663055287125764e-05,4.976058364262173e-07,1.3181551471538053e-07,2362.7284966666666,#2+,15-04-2019_20
1,0.050676110267832655,0.0023888107704246385,0.0002366275354760117,3.3918700322883136e-05,5.49116246180341e-07,2.3195562486685148e-07,4206.143956666667,#2+,15-04-2019_20
2,0.051015304288179186,0.0005172665419744176,6.915963206086063e-06,2.7368615355226026e-05,2.0778977728845373e-07,3.1726809161995876e-09,36.63347,#2+,15-04-2019_20
3,0.16575849564428344,0.0014717838839117439,2.2247105049408878e-05,1.7972363029044983e-05,1.6956167662615067e-07,2.0908467267601257e-08,292.7763,#2+,15-04-2019_20
4,0.24937046081422662,0.00194016823427842,8.408004154945412e-06,1.9820517517395962e-05,1.6268793560756428e-07,9.847829129390063e-09,42.75985,#2+,15-04-2019_20
5,0.6294274114443654,0.004591699817798282,3.325267009999367e-06,2.2362693419465175e-05,1.6621861347067462e-07,2.1766191142934572e-09,34.11347,#2+,15-04-2019_20
6,0.7499396092158176,0.005465869358508306,4.932166275623108e-06,1.2564124012033768e-05,9.672436360178952e-08,3.626110454547317e-09,46.49682,#2+,15-04-2019_20
7,0.48707750593681415,0.00362155748602226,8.243904909392761e-06,1.3677917872303557e-05,1.076732555574056e-07,6.716164775524948e-09,65.90551,#2+,15-04-2019_20
8,0.3749757473951155,0.002721847055144829,9.732316226403755e-07,9.607780244418357e-06,7.00687881491191e-08,4.125675708289017e-10,32.71502666666667,#2+,15-04-2019_20
9,0.34368324287599633,0.0024794003793633898,1.5331907582026568e-07,8.587812321880903e-06,6.19624766018352e-08,4.840125146353519e-11,6.04159,#2+,15-04-2019_20
10,0.28185140382319396,0.0021057219653008454,3.6621504172935887e-06,7.544069123175855e-06,6.13106167826178e-08,2.8910356830215234e-09,59.44932,#2+,15-04-2019_20
11,0.22325457255306963,0.0016200315398184992,5.078129220261977e-07,6.418403529198881e-06,4.712771350015007e-08,3.858909633843217e-10,27.75301333333333,#2+,15-04-2019_20
12,0.11649959608509991,0.000842601346805561,1.2342117987359798e-07,1.126928594493378e-05,8.134393027475155e-08,6.288104722939568e-11,20.113386666666667,#2+,15-04-2019_20
13,0.18340341314952865,0.001332219579500186,2.8583815554919017e-07,4.612866902626799e-06,3.361484034107285e-08,1.3984593822231757e-10,38.05397,#2+,15-04-2019_20
14,0.14278009743768658,0.001034681710363132,1.882788021138543e-07,1.988205355444822e-06,1.464246152360745e-08,9.883302988725306e-11,31.71442,#2+,15-04-2019_20
15,0.14406499645620383,0.001042782540302162,1.563640015861672e-07,2.1894303877555525e-06,1.5804265075144662e-08,7.68856258356632e-11,15.530136666666667,#2+,15-04-2019_20
16,0.21711473953272253,0.0015705438521254951,2.2932552024517065e-07,1.4789554593822294e-06,1.0837931197119849e-08,1.0526241300505103e-10,13.619873333333333,#2+,15-04-2019_20
17,0.22698357612144848,0.0016840906958495645,2.1216109398202114e-06,9.993861707348995e-07,1.440532944568528e-08,2.663795920837146e-09,66.43621333333333,#2+,15-04-2019_20
18,0.19525896814219726,0.0014105488592278262,8.72554853597535e-08,2.9982831919200064e-06,2.2384465150685798e-08,1.0046994863070666e-10,11.227493333333333,#2+,15-04-2019_20
19,0.237062123747648,0.0017142364374534058,1.721779545020603e-07,1.9020619093303026e-06,1.4666428549462217e-08,1.9128584797667738e-10,22.295046666666668,#2+,15-04-2019_20
20,0.33600082400809345,0.002433817191778619,3.5510088536420556e-07,2.473235292231065e-06,1.909835868611341e-08,3.504952055512016e-10,49.27533666666667,#2+,15-04-2019_20
21,0.43348907722138397,0.0031273054052551688,1.3119230390887958e-07,1.6028158822276606e-06,1.1730248728623423e-08,5.541951635380634e-11,17.871203333333334,#2+,15-04-2019_20
22,0.24632296032170015,0.001856979337422234,4.9837353967545855e-06,8.599142989154041e-07,1.2571596858612222e-08,2.831775768558175e-09,433.5991,#2+,15-04-2019_20
23,0.06623382310295532,0.00047767984756824004,2.3293029201812235e-08,3.450719091728222e-08,3.229145973080521e-10,2.9095780856117085e-11,13.814206666666667,#2+,15-04-2019_20
24,0.5094907888461327,0.0036793182621696814,2.8937684861404104e-07,1.479662208661658e-07,2.4027990689625027e-09,6.3573809369513e-10,50.21068,#2+,15-04-2019_20
25,0.14945695665965353,0.0011167126219535648,1.760507653521182e-06,1.9335248923213377e-07,8.65734779957491e-09,2.393132220428367e-09,324.94200666666666,#2+,15-04-2019_20
26,0.12296695037357844,0.000886508920157259,3.015227928972549e-08,7.692576848539367e-07,5.6303435278938e-09,3.43074654201765e-11,7.24215,#2+,15-04-2019_20
27,0.2181028752813739,0.0015718783044545792,1.9998865163544194e-08,4.577264293573288e-07,3.35057638503091e-09,1.4114416462846275e-11,7.652116666666666,#2+,15-04-2019_20
28,0.19576903887889407,0.0014554795169007175,1.824174519496821e-06,8.622291287612017e-08,9.485630956839085e-09,2.526527914755557e-09,80.69477666666667,#2+,15-04-2019_20
29,0.20113936848606134,0.0014508016846492616,9.636035807517857e-08,2.1094529044142408e-06,1.5336360288930305e-08,3.606701465148918e-11,12.04519,#2+,15-04-2019_20
30,0.2646369567446644,0.0019194104791439713,4.3901167815567466e-07,1.4096866566853004e-06,1.1018069484465562e-08,1.7778110840647203e-10,84.43546333333333,#2+,15-04-2019_20
